Sales Region;Sales Country;Vehicle Production Region;Vehicle Production Country;OEM Group;Brand;Make Model;Global Segment;Propulsion;Fast-Charging;Battery kWh;Cathode Chemistry;Cell Supplier;2009;2010;2011;2012;jan-13;feb-13;mar-13;apr-13;maj-13;jun-13;jul-13;aug-13;sep-13;okt-13;nov-13;dec-13;2013;jan-14;feb-14;mar-14;apr-14;maj-14;jun-14;jul-14;aug-14;sep-14;okt-14;nov-14;dec-14;2014;jan-15;feb-15;mar-15;apr-15;maj-15;jun-15;jul-15;aug-15;sep-15;okt-15;nov-15;dec-15;2015;jan-16;feb-16;mar-16;apr-16;maj-16;jun-16;jul-16;aug-16;sep-16;okt-16;nov-16;dec-16;2016;jan-17;feb-17;mar-17;apr-17;maj-17;jun-17;jul-17;aug-17;sep-17;okt-17;nov-17;dec-17;2017;jan-18;feb-18;mar-18;apr-18;maj-18;jun-18;jul-18;aug-18;sep-18;okt-18;nov-18;dec-18;2018;jan-19;feb-19;mar-19;apr-19;maj-19;jun-19;jul-19;aug-19;sep-19;okt-19;nov-19;dec-19;2019;jan-20;feb-20;mar-20;apr-20;maj-20;jun-20;jul-20;aug-20;sep-20;okt-20;2020;Cumulative Sales
Americas;USA;Americas;USA;GM;Chevrolet;Chevrolet Volt EREV;Car-C;PHEV;NA;18,4;NMC;LG Chem;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;700;1000;1600;3300;600;1000;1800;1983;1901;1937;2406;2081;2031;2191;2531;3691;24152;1611;1820;2132;1807;1817;1745;1518;1445;1453;1362;1702;1937;20349;713;983;1782;1060;1675;1601;1600;1955;1874;1638;1658;1767;18306;517;650;1353;301;432;333;181;127;229;159;141;70;4493;10;8;5;2;4;9;1;2;2;;43;70643
Americas;USA;Americas;Canada;FCA;Chrysler;Chrysler Pacifica PHEV;MPV-E;PHEV;NA;16;NMC;LG Chem;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;12;;;335;705;355;125;425;475;875;570;720;4597;375;450;480;425;650;710;450;654;637;623;895;713;7062;436;589;383;425;450;500;385;395;415;350;300;600;5228;300;600;300;200;100;200;225;100;750;;2775;19662
Americas;USA;Americas;Mexico;FCA;Fiat;Fiat 500e EV;Car-A;BEV;NA;24;NMC;Samsung SDI;;;;;;;;;;;150;160;50;40;125;120;645;35;40;166;152;167;166;119;166;137;140;100;115;1503;259;315;1310;717;420;363;485;610;635;425;390;265;6194;217;195;373;372;388;278;274;311;370;319;287;353;3737;752;590;785;541;473;359;395;290;285;310;215;385;5380;136;125;132;117;106;446;182;282;265;264;354;209;2618;131;104;155;137;168;153;150;163;126;100;115;135;1637;75;75;14;20;45;55;40;20;44;;388;22102
Americas;USA;Europe;Finland;Other;Fisker;Fisker Karma EREV;Car-F;PHEV;NA;20,1;LFP;Wanxiang 123 ;;;49;1506;20;13;19;14;29;5;2;5;3;1;12;6;129;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;0;1684
Americas;USA;Americas;USA;Ford;Ford;Ford C-Max Energi PHEV;MPV-C;PHEV;NA;7,6;NMC;Panasonic-Sanyo;;;;2374;338;334;494;411;450;455;433;621;758;1092;941;827;7154;471;552;610;525;782;988;831;1050;677;644;644;659;8433;395;498;715;1237;715;665;693;723;719;695;639;579;8273;350;490;610;607;538;630;755;707;689;571;721;1289;7957;473;639;662;720;950;936;844;705;683;569;523;436;8140;234;142;105;57;18;6;4;4;12;;;;582;;;;;;;;;;;;;0;;;;;;;;;;;0;42913
Americas;USA;Americas;USA;Ford;Ford;Ford Focus Electric EV;Car-C;BEV;NA;23;NMC;LG Chem;;;8;685;81;158;180;147;157;177;150;175;110;115;130;158;1738;100;129;177;116;177;197;198;264;176;186;191;53;1964;85;145;140;124;165;152;135;176;145;126;93;96;1582;66;81;110;81;54;54;58;75;82;73;66;101;901;56;228;407;125;132;110;148;131;131;115;121;113;1817;73;70;137;83;88;50;46;7;4;;1;1;560;;;;;;;;;;;;;0;;;;;;;;;;;0;9255
Americas;USA;Americas;Mexico;Ford;Ford;Ford Fusion Energi PHEV;Car-D;PHEV;NA;7,6;NMC;Panasonic-Sanyo;;;;;;119;295;365;416;390;407;600;750;1087;870;791;6090;533;779;899;743;1342;1939;1226;1222;640;686;752;789;11550;426;603;837;711;986;727;852;949;808;849;944;1058;9750;581;932;1238;1331;1453;1700;1341;1422;1652;1372;1817;1099;15938;606;837;1002;905;1000;707;703;762;763;741;731;875;9632;640;794;782;742;740;604;522;396;480;453;1131;790;8074;557;573;611;753;1064;847;842;750;485;590;645;440;8157;364;528;263;206;319;231;349;405;291;;2956;72147
Americas;USA;Americas;USA;Ford;Ford;Ford Kuga / Escape PHEV;SUV-C;PHEV;NA;14,4;NMC;Samsung SDI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;11;9;;;;34;34
Americas;USA;Asia-Pacific;Japan;Honda Motor;Honda;Honda Accord PHEV;Car-D;PHEV;NA;9;LMO;GS Yuasa;;;;;2;17;26;55;58;42;54;44;51;71;68;38;526;27;24;18;37;46;28;41;46;42;34;43;63;449;28;12;5;5;5;4;1;2;;;1;1;64;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;0;1039
Americas;USA;Asia-Pacific;Japan;Honda Motor;Honda;Honda Clarity BEV;Car-D;BEV;CCS;25,5;Unknown Li-Ion;Unknown;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;34;15;52;34;459;527;1121;203;104;48;7;37;126;112;29;59;68;69;86;948;78;68;63;90;76;32;23;38;21;38;38;11;576;24;14;2;;1;1;2;;1;;45;2690
